,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7989,Ty Segall,2014-07-22,Manipulator,5LqZeHNc8dSazLXJfaOUUp,40,2.94e-05,0.416,188533,0.807,0.002,2,0.0613,-8.049,1,0.04,117.906,4,0.156
7990,Dewa 19,2014-12-03,Kangen,5LqanqJSmZwbwPtIi2RwTb,69,0.0384,0.618,300513,0.776,0.0,2,0.127,-6.41,1,0.0282,133.986,4,0.842
7991,Pink Floyd,2014-11-07,"Side 3, Pt. 6: Allons-y (2)",618H64JuNjoDCzgf4SFJOH,41,0.136,0.414,92413,0.537,0.932,9,0.109,-13.341,1,0.0379,113.079,4,0.0935
7992,Cherub,2014,Chocolate Strawberries,09nsu0HAuuoSkXb7UvUrX5,37,0.189,0.897,314173,0.713,0.0408,1,0.0456,-5.871,0,0.0496,114.992,4,0.926
7993,Franco De Vita,2014-10-20,Cuando Tus Ojos Me Miran (feat. India Martinez) - Vuelve en Primera Fila - Live Version,20JGllbxlsQdPVQIgGZVMO,54,0.412,0.569,288013,0.719,0.0,4,0.885,-5.556,0,0.0545,87.939,4,0.611
7994,Galantis,2014-04-01,Help,2BuaFGE4mY8HR8FBLoOE1Z,41,0.169,0.487,248883,0.78,0.0,7,0.0886,-3.938,0,0.054,127.955,4,0.454
7995,Twin Peaks,2014-08-05,I Found A New Way,2R6UVm4atvH9jV9BNOeTr4,36,0.00011,0.436,165869,0.867,0.406,11,0.328,-4.571,0,0.0782,143.938,4,0.507
7996,Dotan,2014-01-31,Home II,2pqyWxLPIkC85uhG6mUpm7,35,0.593,0.43,331680,0.306,0.132,2,0.0876,-13.099,1,0.0345,126.714,5,0.11
7997,Jack & Jack,2014-12-16,Cheat Codes (feat. Emblem3),34PUDIXY0PoijZcvvVw6Xs,40,0.395,0.712,256703,0.668,0.0,1,0.132,-7.401,1,0.0596,140.008,4,0.59
7998,Miracle Of Sound,2014-12-12,All as One,3BAqcDVSEq82NoWm9SUXwB,43,0.0053,0.387,318910,0.817,1.64e-06,2,0.136,-6.188,0,0.0447,185.097,4,0.27
7999,Vancouver Sleep Clinic,2014-03-10,Vapour,3piBkAlDyMAI0WQ5SMQdxB,42,0.932,0.246,246747,0.462,0.153,11,0.0753,-13.055,1,0.0655,139.228,4,0.128
8000,The Grid,2014-11-28,Swamp Thing,53DZyJ7xXnTaUZ1VPdFWEn,46,0.00219,0.666,237520,0.942,0.88,2,0.0589,-9.79,1,0.0403,134.811,4,0.723
8001,Glee Cast,2014-01-28,Rockin' Around the Christmas Tree (Glee Cast Version),6LXppA5oAjUjxJKj6Od7Zb,40,0.186,0.654,138813,0.672,6.5e-05,1,0.458,-4.72,0,0.0304,141.973,4,0.845
8002,Groovio,2014-09-19,Don't Go Chasing Waterfalls,6Me5xkG5w4VBL6z1M2x3vl,44,0.443,0.806,294827,0.285,7.1e-06,8,0.05,-15.218,1,0.0796,172.075,4,0.762
8003,Sagitario Musical,2014-01-01,Suerte He Tenido,6q4idcnmj4eT7drI93sYgj,36,0.468,0.697,172984,0.627,2.35e-05,10,0.0585,-7.372,1,0.0442,120.98,4,0.96
8004,Kevin Florez,2014-02-14,La Invite a Bailar,7BPLDE8tLBrilffLWQorRG,51,0.012,0.697,242858,0.942,0.0,10,0.132,-2.822,0,0.124,112.027,4,0.798
8005,Fellini Félin,2014-09-01,On the Way Home,7G4RW8KUKOLjpCKt2bmQVF,51,0.227,0.717,356032,0.659,0.0135,0,0.0923,-11.249,0,0.0331,125.001,4,0.346
8006,Tove Lo,2014-01-01,This Time Around,7lDJKRf2QBWILvMhBajiuV,37,0.00986,0.667,244373,0.688,1.18e-05,6,0.0868,-4.416,0,0.0299,107.963,4,0.259
8007,Keeno,2014-06-30,Nocturne,7p6RXRFNp3KgUZmond1ACi,43,0.00954,0.395,337600,0.869,0.873,2,0.0656,-6.323,1,0.0401,175.035,4,0.0367
8008,Connan Mockasin,2014-11-25,Faking Jazz Together,7tRh155uX9umctoMh7sLdo,35,0.92,0.254,312307,0.387,0.679,5,0.0937,-12.92,0,0.0483,71.518,4,0.222
8009,Fabrizio Paterlini,2014-02-04,"My Piano, The Clouds",2icQrPuCDVAMAoVAHRzF7b,45,0.994,0.403,166174,0.0217,0.953,4,0.109,-25.107,1,0.0502,72.051,4,0.0652
8010,Chayanne,2014-08-25,Bailando Dos Corazones,30FgI759q9SHO5jE4CKmL5,53,0.013,0.676,250893,0.893,0.0,5,0.259,-3.693,1,0.0316,126.005,4,0.818
8011,Blues Saraceno,2014-05-06,When the Devil Calls,3CqdEcYe3xWopkzxQxiyIK,45,0.000241,0.529,235957,0.851,0.000256,6,0.114,-7.005,1,0.0315,84.015,4,0.534
8012,Flip Grater,2014-04-04,Diggin' for the Devil,3RVbbNzSF5ssXTuwaqU3lB,41,0.0425,0.646,184920,0.58,0.531,9,0.0836,-10.106,1,0.0517,121.984,4,0.412
8013,Pink Floyd,2014-11-07,"Side 4, Pt. 2: Eyes To Pearls",3U7q3RR3DFEzEjU1J1FU1E,41,0.786,0.392,111173,0.189,0.876,11,0.123,-20.601,0,0.0315,126.341,4,0.0746
8014,Yelle,2014-09-26,Complètement fou,3rfTe2727kQq0XgI9Z2W5v,43,0.0986,0.823,230467,0.506,0.000503,0,0.577,-5.516,1,0.0966,126.052,4,0.512
