,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5769,5999,Banda los Costeños,2017-08-11,El Ahuate,7FXxRZRcYd6UV6doQBRzq8,50,0.615,0.848,233963,0.621,2.63e-06,10,0.0972,-6.226,1,0.0453,114.016,3,0.94
5770,6000,Roy Blair,2017-12-08,Perfume,2tB5MNlg9RPcpEFl2Ws3IH,50,0.237,0.733,202869,0.48,0.0,2,0.196,-9.737,1,0.112,121.953,4,0.64
5771,6001,Zac Brown Band,2017-05-12,2 Places at 1 Time,5ROs10PYStfjqWfusjmGZD,50,0.165,0.33,220213,0.488,0.0,8,0.114,-7.521,1,0.0335,171.63,4,0.313
5772,6002,Ed Prosek,2017-05-12,The Mountain,4VR3rTlDwB1tB8f0Q2R07e,55,0.252,0.588,212500,0.519,1.14e-06,0,0.158,-6.105,1,0.0326,131.042,4,0.206
5773,6003,Cody Jinks,2017-11-17,Whiskey Bent and Hell Bound,5h37MdNFJKuYu3XLhDRQ7L,48,0.0244,0.59,192871,0.733,9.98e-06,6,0.103,-5.084,1,0.0342,115.549,4,0.713
5774,6004,Peachy!,2017-10-07,Amsterdam,6HewWOJhSUEMAHpNZ5CH6e,52,0.979,0.731,105231,0.283,9.83e-05,11,0.109,-7.462,1,0.241,130.017,4,0.477
5775,6005,Caleb Belkin,2017-12-08,Clouds,0dRYB7kYs01lfWvNm0erDd,53,0.793,0.628,62415,0.135,0.854,8,0.13,-21.66,1,0.0845,80.943,4,0.595
5776,6006,Super Simple Songs,2017-03-24,Skidamarink,2H7ocsBg1Cj97dvcnZxF1f,54,0.516,0.694,136411,0.115,2.17e-06,7,0.0936,-14.399,1,0.141,100.039,4,0.457
5777,6007,Maria Lynn,2017-12-14,Summer's Gone,6PmhCEPMjhSo9j8hz767xy,56,0.835,0.483,204205,0.271,0.0,10,0.13,-10.981,1,0.0569,86.856,4,0.134
5778,6008,Gucci Mane,2017-10-13,Enormous (feat. Ty Dolla $ign),17HlhTU351nr8MncIGppDk,50,0.234,0.844,244453,0.486,0.0,3,0.0976,-6.915,0,0.368,142.606,4,0.493
5779,6009,CircusP,2017-07-15,Copycat,2PoYyfBkedDBPGAh0ZUoHW,53,0.265,0.378,280647,0.671,0.000188,0,0.203,-7.536,0,0.0341,137.074,4,0.222
5780,6010,BØJET,2017-09-03,Lost,3Izj0JRa1iVoMToDqDCYsr,56,0.29,0.741,156918,0.145,0.144,4,0.0857,-25.85,0,0.042,139.937,4,0.455
5781,6011,2CELLOS,2017-03-17,Moon River,1y2VTYeE7Glc4UQF9kvuzj,56,0.964,0.14,192840,0.248,0.929,7,0.109,-14.361,1,0.0456,76.286,3,0.0786
5782,6012,Fandroid!,2017-03-19,The Devil's Swing,3KGiRn6HGWaidBiENkYzM7,52,0.0767,0.771,157010,0.702,0.0,6,0.0886,-9.438,1,0.0412,120.025,4,0.792
5783,6013,Chris Brown,2017-10-31,High End (feat. Future & Young Thug),6FwiZxKXipsyGw2CVZOzol,54,0.0144,0.725,202214,0.503,1.52e-06,10,0.124,-5.646,1,0.209,153.047,4,0.0636
5784,6014,Kaskade,2017-09-01,Show of Hands (with LöKii & Mr. Tape),6c54HhGqvxlLavDsDzyLiw,55,0.0817,0.893,202448,0.699,0.0566,4,0.393,-4.657,0,0.201,125.031,4,0.475
5785,6015,Louis Landon,2017-07-01,I Can't Make You Love Me,24nMg5ZVMNVPPybHu3UBFO,54,0.99,0.438,268013,0.126,0.959,10,0.11,-18.342,1,0.0471,73.207,4,0.161
5786,6016,enjo,2017-08-04,RideOut,2VnKo1kUEFkM5CwzsreulS,51,0.915,0.78,79024,0.327,0.689,10,0.112,-8.763,1,0.136,82.027,4,0.388
5787,6017,Kumbhaka,2017-03-20,The Golden Path,4Yfx8KnmfYaNr58SVLV4QY,57,0.735,0.121,178609,0.138,0.831,8,0.0864,-23.743,1,0.0603,66.373,4,0.0332
5788,6018,Lil Baby,2017-08-25,Stendo,7GSlWq7g7RHCbsPMrJ0tEx,49,0.172,0.623,211333,0.618,0.0,2,0.123,-8.433,1,0.21,156.008,4,0.125
5789,6019,Novo Amor,2017-05-26,Colourway,2oa53bhiNPCz2CGh26AYxi,56,0.96,0.263,228164,0.371,0.86,3,0.109,-10.112,1,0.0311,158.381,4,0.148
5790,6020,Gucci Mane,2017-10-13,Members Only,3zyySJVPMSDF57tB7KbWlI,50,0.135,0.783,194013,0.629,0.0,10,0.0838,-6.647,0,0.154,136.099,4,0.652
5791,6021,Russ,2017-05-05,MVP,6euh6chaRsi3Ywb1gA9LlO,51,0.906,0.611,256253,0.528,0.0,8,0.185,-8.241,0,0.138,84.449,4,0.225
5792,6022,Leikeli47,2017-09-08,Wash & Set,7gLTmWuCVj75DFAzgXa2Mg,53,0.401,0.963,165760,0.483,0.0,9,0.0666,-5.373,1,0.336,125.952,4,0.593
5793,6024,Chicano Batman,2017-03-03,Passed You By,5dWYX65ZLTFymRERa5jsRa,48,0.174,0.318,207720,0.784,0.173,4,0.239,-1.97,1,0.0278,83.452,4,0.489
5794,6025,Ricardo Arjona,2017-04-21,El Que Olvida,69dW5grE2KVwjl0ACruk0k,63,0.0512,0.454,231680,0.703,0.000762,1,0.161,-3.871,1,0.0349,81.082,4,0.29
5795,6026,Ski Mask The Slump God,2017-04-24,New Age Chip Skylark,2jDtVZi6Js9McXD7qxBzNv,49,0.281,0.754,123559,0.672,0.0,1,0.119,-6.385,1,0.214,138.071,4,0.569
5796,6027,NEFFEX,2017-10-11,Flirt,6e6H00s0e2cZayrnBbvPsv,57,0.263,0.685,159375,0.741,0.0,10,0.13,-5.22,1,0.32,145.008,4,0.681
5797,6028,Why Don't We,2017-04-21,Never Know,2JCzIaI5ikmUYhazp41AHH,53,0.0303,0.652,174560,0.678,0.0,9,0.288,-5.829,1,0.173,103.877,4,0.515
