,artist_name,track_name,track_id,popularity
182,Sech,Otro Trago - Remix,4bTZeO72FwMa6wKOiqoynL,90
183,Why Don't We,What Am I,1HimGOB6BjOaCQYMIF1xtU,85
184,Luh Kel,Wrong,3EludUFeAoJAwSixWGG5Wg,82
185,Lauv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,86
186,Blake Shelton,God's Country,1dyxS3YzBbL0t8rEVwVQ1K,79
187,Lil Baby,Woah,598yNsG1JFrGd4n2kMoz7F,73
188,Lil Nas X,Panini,1000nHvUdawXuUHgBod4Wv,85
189,Big Sean,Bezerk (feat. A$AP Ferg & Hit-Boy),2B9wgj9XzbJZLty03PRbVo,80
190,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),6osaMSJh9NguagEDQcZaKx,93
191,YG,Go Loko,3SZqA7rQvROJsCbUu2v0xa,82
192,YK Osiris,Worth It,4XiGKQqbmnMVxDzUj6j3f2,80
193,J Balvin,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,90
194,Marshmello,Here With Me,5icOoE6VgqFKohjWWNp0Ac,86
195,NLE Choppa,Shotta Flow 3,0OsYwz3SCLD98IvWfdLeRQ,78
196,MAX,Love Me Less (feat. Quinn XCII),2tOOcDDYkh0PSjr6GwPEAJ,80
197,Roddy Ricch,Big Stepper,5MVdzbNmCVf9cWbkqFakkr,79
198,Polo G,Through Da Storm,3NqCEpT8xsHdzpiRlM1kpS,79
199,Young Thug,What's the Move (feat. Lil Uzi Vert),3pTScODwk9tggZzmuH6xDY,79
200,Post Malone,I Know,6b2mfHMqWCA74XmUuVJm8r,81
201,Ant Saunders,Yellow Hearts,20JtELGPfOAMq7FpUt8eSM,80
202,Sam Feldt,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,88
203,The Black Eyed Peas,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,93
204,The Chainsmokers,Who Do You Love,4FAd2rB28SaWaJWmn30Xuy,84
205,ROSALÍA,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,92
206,iann dior,emotions,5ls62WNKHUUrdF3r1cv83T,80
207,BTS,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,87
208,Offset,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,81
209,Lil Tjay,Hold On,5qDsijQM75KTdv3RtSPx91,78
210,Wale,On Chill (feat. Jeremih),5z51HY4ei5QhTjcvwq5Msw,78
211,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,81
212,Dermot Kennedy,Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,87
213,Calboy,Envy Me,7rvyVWja33WG9R97oeJAjx,79
214,Tee Grizzley,Satish,4hbcs8vaamKTPevPIJsY7N,78
215,H.E.R.,Slide,2rTnVB1bvwxHtaIl4uVu7f,80
216,DaniLeigh,Easy - Remix,4CMrdHWqic0usIZfTrKoI3,80
217,YoungBoy Never Broke Again,Carter Son,0QVvkAOstRG26pVYN95CeL,77
218,Summer Walker,Stretch You Out (feat. A Boogie wit da Hoodie),4Qxn47gWPSucovKrMyRf1z,79
219,Summer Walker,Playing Games,4hWgC5BV5M7EtTleKVXNxw,80
220,Jhay Cortez,No Me Conoce - Remix,7rknFhrVDyxzTJkPSf7LoW,88
221,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],3JEHTXTL3Ha4kOQB2e7Rq8,65
222,Joji,Sanctuary,3xaugmCyXrVkrDTXbFkMW3,83
223,BROCKHAMPTON,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,79
224,Luke Bryan,Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,78
225,Joyner Lucas,Isis,36TO60sxDduIsO3xH8IcUh,80
226,5 Seconds of Summer,Easier,4tNXntkAzQ5A2dfYRYGIIQ,84
227,Taylor Swift,Paper Rings,4y5bvROuBDPr5fuwXbIBZR,81
228,Summer Walker,I'll Kill You (feat. Jhené Aiko),7EkiMl81fUHVwpItgtzI4r,78
229,Thomas Rhett,Look What God Gave Her,2KqJC0koTBUyDlsMt5ok1V,77
230,Lil Tjay,Brothers (feat. Lil Durk) - Remix,2wUwC1gBJIC05JH87v2hgN,77
231,YoungBoy Never Broke Again,Lonely Child,6xqZi5JTTk6XIMLvy7w5JJ,76
232,Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,88
233,Lil Nas X,Old Town Road,0F7FA14euOIX8KcbEturGH,87
234,Post Malone,Internet,0KAzP1Rbp0Vz5pw8i1KDDI,80
235,OneRepublic,Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,87
236,Ariana Grande,Bad To You (with Normani & Nicki Minaj),7vJS1DPc3FzBtqBs8n3mW5,85
237,DaBaby,POP STAR (feat. Kevin Gates),2TsD9kSbgYx5fSNRsoNURE,77
238,Billie Eilish,my strange addiction,3Tc57t9l2O8FwQZtQOvPXK,82
239,Bryce Vine,La La Land (feat. YG),4oM9DGUTrRaXJDypxxHztZ,75
240,Wallows,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,79
241,NLE Choppa,Forever,3fx31TjnwvwZIyAGHhOhA1,76
242,Juice WRLD,Feeling,2Jh3UqxnHJMyzMzku4uOtE,78
243,Jorja Smith,Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,86
244,Polo G,Heartless (feat. Mustard),028JxheELfIvvY4zBXuMjw,78
245,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",5A3fPy30SN2wuzrahpcxvV,81
246,Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,81
247,Dreamville,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",36J0iaPDGbYGsHvYpaYs3k,78
248,Major Lazer,Que Calor (feat. J Balvin & El Alfa),1RKZvaLj3UPhGjZkaIrFm7,79
249,Khalid,Talk,0rTV5WefWd1J3OwIheTzxM,83
250,Billie Eilish,listen before i go,0tMSssfxAL2oV8Vri0mFHE,81
251,Tyga,MAMACITA,51wFQM8W0YfXTmHusXUr5i,81
252,Russ,Civil War,5tmu5pAFHkUSl8Fo8ncyA4,81
253,NF,Time,6MxMqCgqmekcr0VwSU7AVH,79
254,Taylor Swift,I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd,80
255,Young M.A,BIG,7cyeGclH71MayOuQ7qtLFl,78
256,MEDUZA,Lose Control,7CHi4DtfK4heMlQaudCuHK,89
257,Florida Georgia Line,Talk You Out Of It,4qQwGRtGT7l6ckQtdPEFd4,76
258,Florida Georgia Line,Simple,4L9Ds4mpD3SuYoWwFUlv16,77
259,YBN Cordae,Broke As Fuck,1faIb3PPSzEifCHUOJ691R,78
260,YoungBoy Never Broke Again,In Control,5IdAcHb4cwtexqMlOojWhR,75
261,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London On Da Track),5FDCDBFDKpf7TLzDx6r2Lp,77
262,Lil Tjay,One Take,4uu7gKd1PffC7QEMcMk0Ro,78
263,Rich The Kid,Splashin,3KLo7ByvjCNyBrfz5DZ2mO,78
264,Shawn Mendes,Señorita,6v3KW9xbzN5yKLt9YKDYA2,90
265,Polo G,Finer Things,7oBW80497A8axagr4aC9U6,77
266,Billie Eilish,xanny,4QIo4oxwzzafcBWkKjDpXY,81
267,Jhené Aiko,Triggered (freestyle),3PAptX72PPmjj1Igms0zjo,77
268,Taylor Swift,The Archer,3pHkh7d0lzM2AldUtz2x37,81
269,Lil Baby,Woah,4MsxMuC4eDGYv8pT7snwsn,58
270,PnB Rock,I Like Girls (feat. Lil Skies),7cWh3ScxjhvasLI0CBRoZk,77
271,DaBaby,OFF THE RIP,3e39X4Q74yJzsYUEeyf4ws,76
272,JP Saxe,If The World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,80
273,Marshmello,Project Dreams,6GSkLS2y4ZnnZsuRAj975K,80
274,Billie Eilish,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,86
275,G-Eazy,I Wanna Rock (feat. Gunna),3xB5uHrhe0uaIxNGf3JwZA,78
276,Jessie Reyez,Imported (with 6LACK),5zXmmhtXrhDbYnScaYpqZg,78
277,Chris Brown,Heat (feat. Gunna),1GIYmwtBbPSHrqcSaukZck,78
278,Xavier Weeks,Team,7EQoRKZQ1Y792aF7B6nPS6,76
279,Baby Keem,ORANGE SODA,5FkoSXiJPKTNyYgALRJFhD,77
280,Lil Uzi Vert,That's a Rack,4pCEIQ6wBVuaJdER5bALtO,77
281,Taylor Swift,Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,80
282,DaBaby,"GOSPEL (feat. Chance The Rapper, Gucci Mane & YK Osiris)",0WoAkdHmgPmEXfiBox1flk,76
283,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,77
284,Juice WRLD,Empty,41MCdlvXOl62B7Kv86Bb1v,77
285,Sam Hunt,Kinfolks,53F1MVa1BWUkTBbVqgVAfN,76
286,DJ Scheme,"How You Feel? (Freestyle) (feat. Lil Yachty, Danny Towers & Ski Mask The Slump God)",67cpn8ZBO7QU67jky8Fh47,77
287,Juice WRLD,Fast,6MjNilJCVKJq0LfFvo5jWJ,78
288,Camila Cabello,Shameless,3UYiU57SMiAS5LqolhHJw1,84
289,Hozier,Almost (Sweet Music),5Apvsk0suoivI1H8CmBglv,76
290,Lil Baby,Toast Up,0sglkAptGCcAkKXWZcF0gT,33
291,Taylor Swift,London Boy,1LLXZFeAHK9R4xUramtUKw,80
292,Tame Impala,It Might Be Time,2P0NiuAfypaw5UZJoo0n0o,79
293,Maluma,11 PM,7KbF6AdprOXEEHlsq11Z6d,89
294,Doja Cat,Juicy,4cTm3Ev9bUvy4ChJjB1nhl,78
295,NLE Choppa,CAPO,1KjQPDJQCUuqDj3AmfSBCa,76
296,YoungBoy Never Broke Again,Ranada,4XlyD28tQ6qdqNS2BkE1AF,75
297,Taylor Swift,Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,80
298,Melanie Martinez,Show & Tell,7po7c8LzxTZ0ybU41qT5gD,80
299,Ski Mask The Slump God,Carbonated Water,4HPTladgOGcGzleMR3I0FK,75
300,XXXTENTACION,HEARTEATER,17UwOJOXHbggzJfAreIgII,79
301,Luh Kel,Pull Up,6LkQuRo91zYjI8dm1iOL2C,78
302,PUBLIC,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,79
303,Lana Del Rey,Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,82
304,YoungBoy Never Broke Again,Rich As Hell,5A6tFAdihqILHJrWuR6wD4,75
305,Halsey,Nightmare,340UVheS8z3ncW9TTUhAbc,80
306,Sub Urban,Cradles,1y4jsQt7MjnZhiD1L6qFBC,78
307,DaBaby,XXL,4LH1gsNA3wUS6QKkGZoJN8,75
308,Kenny Chesney,Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,75
309,Taylor Swift,Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,79
310,DaBaby,iPHONE (with Nicki Minaj),3GX2hFAekmSduZzcS52OnR,76
311,Tyla Yaweh,I Think I Luv Her,6VYXuUz1nYMap8gtqeIrQB,77
312,Kelsea Ballerini,Better Luck Next Time,7vejWqYK7NFsxbxQsAjTrC,76
313,Blanco Brown,The Git Up,2KKijf6Ett4kmVNJze2roh,82
314,Bazzi,Focus (feat. 21 Savage),2FqqVHvC4eKrsk97vpMRid,78
315,Gryffin,All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,79
316,YBN Cordae,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e,80
